"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"13-1199","13-1199","0750","13-1199.03","Customs Brokers","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1041.08","Customs Brokers","Non-STEM","No","No","Non-STW"
"13-1199","13-1082","0705","13-1199.00","Business Operations Specialists, All Other","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Project Management Specialists","Project management specialists","13-1082.00","Project Management Specialists","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.00","Business Operations Specialists, All Other","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.00","Business Operations Specialists, All Other","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.02","Security Management Specialists","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.00","Business Operations Specialists, All Other","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.05","Sustainability Specialists","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.05","Sustainability Specialists","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.02","Security Management Specialists","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.07","Security Management Specialists","Non-STEM","No","No","Non-STW"
"13-1199","13-1082","0705","13-1199.00","Business Operations Specialists, All Other","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Project Management Specialists","Project management specialists","13-1199.00","Business Operations Specialists, All Other","Non-STEM","No","No","Non-STW"
"13-1199","13-1199","0750","13-1199.04","Business Continuity Planners","Business Operations Specialists, All Other","Business operations specialists, all other","0740","Business Operations Specialists, All Other","Business operations specialists, all other","13-1199.04","Business Continuity Planners","Non-STEM","No","No","Non-STW"
"13-2011","13-2011","0800","13-2011.00","Accountants and Auditors","Accountants and Auditors","Accountants and auditors","0800","Accountants and Auditors","Accountants and auditors","13-2011.00","Accountants and Auditors","Non-STEM","No","Yes","Non-STW"
"13-2011","13-2011","0800","13-2011.01","Accountants","Accountants and Auditors","Accountants and auditors","0800","Accountants and Auditors","Accountants and auditors","13-2011.00","Accountants and Auditors","Non-STEM","No","Yes","Non-STW"
"13-2011","13-2011","0800","13-2011.02","Auditors","Accountants and Auditors","Accountants and auditors","0800","Accountants and Auditors","Accountants and auditors","13-2011.00","Accountants and Auditors","Non-STEM","No","Yes","Non-STW"
"13-2021","13-2023","0810","13-2021.02","Appraisers, Real Estate","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers and Assessors of Real Estate","Property appraisers and assessors","13-2023.00","Appraisers and Assessors of Real Estate","Non-STEM","Yes","No","Non-STW"
"13-2021","13-2023","0810","13-2021.00","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers and Assessors of Real Estate","Property appraisers and assessors","13-2023.00","Appraisers and Assessors of Real Estate","Non-STEM","Yes","No","Non-STW"
"13-2021","13-2022","0810","13-2021.01","Assessors","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers of Personal and Business Property","Property appraisers and assessors","13-2023.00","Appraisers and Assessors of Real Estate","Non-STEM","Yes","No","Non-STW"
"13-2021","13-2023","0810","13-2021.00","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers and Assessors of Real Estate","Property appraisers and assessors","13-2022.00","Appraisers of Personal and Business Property","Non-STEM","Yes","No","Non-STW"
"13-2021","13-2022","0810","13-2021.00","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers of Personal and Business Property","Property appraisers and assessors","13-2023.00","Appraisers and Assessors of Real Estate","Non-STEM","Yes","No","Non-STW"
"13-2021","13-2022","0810","13-2021.00","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate","Appraisers and assessors of real estate","0810","Appraisers of Personal and Business Property","Property appraisers and assessors","13-2022.00","Appraisers of Personal and Business Property","Non-STEM","Yes","No","Non-STW"
"13-2031","13-2031","0820","13-2031.00","Budget Analysts","Budget Analysts","Budget analysts","0820","Budget Analysts","Budget analysts","13-2031.00","Budget Analysts","Non-STEM","No","Yes","Non-STW"
"13-2041","13-2041","0830","13-2041.00","Credit Analysts","Credit Analysts","Credit analysts","0830","Credit Analysts","Credit analysts","13-2041.00","Credit Analysts","Non-STEM","No","Yes","Non-STW"
"13-2051","13-2051","0845","13-2051.00","Financial Analysts","Financial Analysts","Financial analysts","0840","Financial and Investment Analysts","Financial and investment analysts","13-2051.00","Financial and Investment Analysts","Non-STEM","No","Yes","Non-STW"
"13-2051","13-2051","0845","13-2051.00","Financial Analysts","Financial Analysts","Financial analysts","0840","Financial and Investment Analysts","Financial and investment analysts","13-2054.00","Financial Risk Specialists","Non-STEM","No","Yes","Non-STW"
"13-2051","13-2054","0960","13-2051.00","Financial Analysts","Financial Analysts","Financial analysts","0840","Financial Risk Specialists","Other financial specialists","13-2051.00","Financial and Investment Analysts","Non-STEM","No","Yes","Non-STW"
"13-2051","13-2054","0960","13-2051.00","Financial Analysts","Financial Analysts","Financial analysts","0840","Financial Risk Specialists","Other financial specialists","13-2054.00","Financial Risk Specialists","Non-STEM","No","Yes","Non-STW"
"13-2052","13-2052","0850","13-2052.00","Personal Financial Advisors","Personal Financial Advisors","Personal financial advisors","0850","Personal Financial Advisors","Personal financial advisors","13-2052.00","Personal Financial Advisors","Non-STEM","No","Yes","Non-STW"
"13-2053","13-2053","0860","13-2053.00","Insurance Underwriters","Insurance Underwriters","Insurance underwriters","0860","Insurance Underwriters","Insurance underwriters","13-2053.00","Insurance Underwriters","Non-STEM","No","No","Non-STW"
"13-2061","13-2061","0900","13-2061.00","Financial Examiners","Financial Examiners","Financial examiners","0900","Financial Examiners","Financial examiners","13-2061.00","Financial Examiners","Non-STEM","No","Yes","Non-STW"
"13-2071","13-2071","0910","13-2071.00","Credit Counselors","Credit Counselors","Credit counselors and loan officers","0910","Credit Counselors","Credit counselors and loan officers","13-2071.00","Credit Counselors","Non-STEM","Yes","No","Non-STW"
"13-2071","13-2071","0910","13-2071.01","Loan Counselors","Credit Counselors","Credit counselors and loan officers","0910","Credit Counselors","Credit counselors and loan officers","13-2072.00","Loan Officers","Non-STEM","Yes","No","Non-STW"
"13-2072","13-2072","0910","13-2072.00","Loan Officers","Loan Officers","Credit counselors and loan officers","0910","Loan Officers","Credit counselors and loan officers","13-2072.00","Loan Officers","Non-STEM","No","No","Non-STW"
"13-2081","13-2081","0930","13-2081.00","Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents","Tax examiners and collectors, and revenue agents","0930","Tax Examiners and Collectors, and Revenue Agents","Tax examiners and collectors, and revenue agents","13-2081.00","Tax Examiners and Collectors, and Revenue Agents","Non-STEM","Yes","Yes","STW"
"13-2082","13-2082","0940","13-2082.00","Tax Preparers","Tax Preparers","Tax preparers","0940","Tax Preparers","Tax preparers","13-2082.00","Tax Preparers","Non-STEM","Yes","No","Non-STW"
"13-2099","13-2099","0960","13-2099.01","Financial Quantitative Analysts","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Specialists, All Other","Other financial specialists","13-2099.01","Financial Quantitative Analysts","Non-STEM","No","Yes","Non-STW"
"13-2099","13-2099","0960","13-2099.00","Financial Specialists, All Other","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Specialists, All Other","Other financial specialists","13-2099.00","Financial Specialists, All Other","Non-STEM","No","Yes","Non-STW"
"13-2099","13-2054","0960","13-2099.02","Risk Management Specialists","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Risk Specialists","Other financial specialists","13-2054.00","Financial Risk Specialists","Non-STEM","No","Yes","Non-STW"
"13-2099","13-2054","0960","13-2099.00","Financial Specialists, All Other","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Risk Specialists","Other financial specialists","13-2054.00","Financial Risk Specialists","Non-STEM","No","Yes","Non-STW"
"13-2099","13-2099","0960","13-2099.03","Investment Underwriters","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Specialists, All Other","Other financial specialists","13-2051.00","Financial and Investment Analysts","Non-STEM","No","Yes","Non-STW"
"13-2099","13-2054","0960","13-2099.00","Financial Specialists, All Other","Financial Specialists, All Other","Financial specialists, all other","0950","Financial Risk Specialists","Other financial specialists","13-2099.00","Financial Specialists, All Other","Non-STEM","No","Yes","Non-STW"
